packet_no,source_ip,destination_ip,protocol,payload
84,13:44:53,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
85,13:44:56,192.168.31.131,192.168.31.1,UDP,No payload
86,13:44:56,192.168.31.131,192.168.31.1,UDP,No payload
87,13:44:56,192.168.31.131,192.168.31.1,UDP,No payload
88,13:44:56,192.168.31.1,192.168.31.131,UDP,No payload
89,13:44:56,192.168.31.1,192.168.31.131,UDP,No payload
90,13:44:56,192.168.31.1,192.168.31.131,UDP,No payload
91,13:44:56,192.168.31.131,192.168.31.1,UDP,No payload
92,13:44:56,192.168.31.131,192.168.31.1,UDP,No payload
93,13:44:56,192.168.31.131,192.168.31.1,UDP,No payload
94,13:44:56,192.168.31.1,192.168.31.131,UDP,No payload
95,13:44:56,192.168.31.1,192.168.31.131,UDP,No payload
96,13:44:56,192.168.31.1,192.168.31.131,UDP,No payload
97,13:44:56,192.168.31.131,192.168.31.1,UDP,No payload
98,13:44:56,192.168.31.131,192.168.31.1,UDP,No payload
99,13:44:56,192.168.31.131,192.168.31.1,UDP,No payload
100,13:44:56,192.168.31.1,192.168.31.131,UDP,No payload
101,13:44:56,192.168.31.1,192.168.31.131,UDP,No payload
102,13:44:56,192.168.31.1,192.168.31.131,UDP,No payload
103,13:44:57,140.82.114.25,192.168.31.131,TCP,Binary/Encrypted Data
104,13:44:57,192.168.31.131,140.82.114.25,TCP,Binary/Encrypted Data
105,13:44:57,140.82.114.25,192.168.31.131,TCP,No payload
106,13:44:58,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
107,13:44:58,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
108,13:44:59,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
109,13:45:01,192.168.31.131,192.168.31.1,UDP,No payload
110,13:45:01,192.168.31.131,192.168.31.1,UDP,No payload
111,13:45:01,192.168.31.131,192.168.31.1,UDP,No payload
112,13:45:01,192.168.31.1,192.168.31.131,UDP,No payload
113,13:45:01,192.168.31.1,192.168.31.131,UDP,No payload
114,13:45:01,192.168.31.1,192.168.31.131,UDP,No payload
115,13:45:01,192.168.31.131,204.79.197.254,TCP,No payload
116,13:45:01,204.79.197.254,192.168.31.131,TCP,No payload
117,13:45:01,192.168.31.131,204.79.197.254,TCP,No payload
118,13:45:01,192.168.31.131,204.79.197.254,TCP,Binary/Encrypted Data
119,13:45:01,192.168.31.131,204.79.197.254,TCP,Binary/Encrypted Data
120,13:45:01,204.79.197.254,192.168.31.131,TCP,No payload
121,13:45:01,204.79.197.254,192.168.31.131,TCP,Binary/Encrypted Data
122,13:45:01,192.168.31.131,204.79.197.254,TCP,Binary/Encrypted Data
123,13:45:01,204.79.197.254,192.168.31.131,TCP,No payload
124,13:45:01,204.79.197.254,192.168.31.131,TCP,Binary/Encrypted Data
125,13:45:01,204.79.197.254,192.168.31.131,TCP,Binary/Encrypted Data
126,13:45:01,204.79.197.254,192.168.31.131,TCP,Binary/Encrypted Data
127,13:45:01,204.79.197.254,192.168.31.131,TCP,Binary/Encrypted Data
128,13:45:01,192.168.31.131,204.79.197.254,TCP,No payload
129,13:45:01,192.168.31.131,204.79.197.254,TCP,No payload
130,13:45:01,192.168.31.131,204.79.197.254,TCP,Binary/Encrypted Data
131,13:45:01,192.168.31.131,204.79.197.254,TCP,Binary/Encrypted Data
132,13:45:01,192.168.31.131,204.79.197.254,TCP,Binary/Encrypted Data
133,13:45:01,204.79.197.254,192.168.31.131,TCP,No payload
134,13:45:01,204.79.197.254,192.168.31.131,TCP,No payload
135,13:45:01,204.79.197.254,192.168.31.131,TCP,No payload
136,13:45:01,204.79.197.254,192.168.31.131,TCP,Binary/Encrypted Data
137,13:45:01,204.79.197.254,192.168.31.131,TCP,Binary/Encrypted Data
138,13:45:01,204.79.197.254,192.168.31.131,TCP,Binary/Encrypted Data
139,13:45:01,204.79.197.254,192.168.31.131,TCP,Binary/Encrypted Data
140,13:45:01,192.168.31.131,204.79.197.254,TCP,No payload
141,13:45:01,192.168.31.131,204.79.197.254,TCP,Binary/Encrypted Data
142,13:45:01,192.168.31.131,204.79.197.254,TCP,Binary/Encrypted Data
143,13:45:01,204.79.197.254,192.168.31.131,TCP,No payload
144,13:45:01,204.79.197.254,192.168.31.131,TCP,No payload
145,13:45:01,204.79.197.254,192.168.31.131,TCP,Binary/Encrypted Data
146,13:45:02,204.79.197.254,192.168.31.131,TCP,Binary/Encrypted Data
147,13:45:02,192.168.31.131,204.79.197.254,TCP,No payload
148,13:45:02,192.168.31.131,204.79.197.254,TCP,No payload
149,13:45:02,192.168.31.131,192.168.31.1,UDP,No payload
150,13:45:02,192.168.31.131,192.168.31.1,UDP,No payload
151,13:45:02,192.168.31.131,192.168.31.1,UDP,No payload
152,13:45:02,192.168.31.1,192.168.31.131,UDP,No payload
153,13:45:02,192.168.31.1,192.168.31.131,UDP,No payload
154,13:45:02,192.168.31.1,192.168.31.131,UDP,No payload
155,13:45:02,192.168.31.131,192.168.31.1,UDP,No payload
156,13:45:02,192.168.31.131,192.168.31.1,UDP,No payload
157,13:45:02,192.168.31.131,192.168.31.1,UDP,No payload
158,13:45:02,192.168.31.1,192.168.31.131,UDP,No payload
159,13:45:02,192.168.31.1,192.168.31.131,UDP,No payload
160,13:45:02,192.168.31.1,192.168.31.131,UDP,No payload
161,13:45:02,192.168.31.131,148.113.8.206,TCP,Binary/Encrypted Data
162,13:45:02,148.113.8.206,192.168.31.131,TCP,No payload
163,13:45:03,192.168.31.131,192.168.31.1,UDP,No payload
164,13:45:03,192.168.31.131,192.168.31.1,UDP,No payload
165,13:45:03,192.168.31.131,192.168.31.1,UDP,No payload
166,13:45:03,192.168.31.1,192.168.31.131,UDP,No payload
167,13:45:03,192.168.31.1,192.168.31.131,UDP,No payload
168,13:45:03,192.168.31.1,192.168.31.131,UDP,No payload
169,13:45:03,192.168.31.131,204.79.197.222,TCP,No payload
170,13:45:03,204.79.197.222,192.168.31.131,TCP,No payload
171,13:45:03,192.168.31.131,204.79.197.222,TCP,No payload
172,13:45:03,192.168.31.131,204.79.197.222,TCP,Binary/Encrypted Data
173,13:45:03,192.168.31.131,204.79.197.222,TCP,Binary/Encrypted Data
174,13:45:03,204.79.197.222,192.168.31.131,TCP,No payload
175,13:45:03,204.79.197.222,192.168.31.131,TCP,Binary/Encrypted Data
176,13:45:03,192.168.31.131,204.79.197.222,TCP,Binary/Encrypted Data
177,13:45:03,204.79.197.222,192.168.31.131,TCP,No payload
178,13:45:03,204.79.197.222,192.168.31.131,TCP,Binary/Encrypted Data
179,13:45:03,204.79.197.222,192.168.31.131,TCP,Binary/Encrypted Data
180,13:45:03,204.79.197.222,192.168.31.131,TCP,Binary/Encrypted Data
181,13:45:03,204.79.197.222,192.168.31.131,TCP,Binary/Encrypted Data
182,13:45:03,192.168.31.131,204.79.197.222,TCP,No payload
183,13:45:03,192.168.31.131,204.79.197.222,TCP,Binary/Encrypted Data
184,13:45:03,192.168.31.131,204.79.197.222,TCP,Binary/Encrypted Data
185,13:45:03,192.168.31.131,204.79.197.222,TCP,Binary/Encrypted Data
186,13:45:03,192.168.31.131,204.79.197.222,TCP,Binary/Encrypted Data
187,13:45:03,204.79.197.222,192.168.31.131,TCP,No payload
188,13:45:03,204.79.197.222,192.168.31.131,TCP,Binary/Encrypted Data
189,13:45:03,204.79.197.222,192.168.31.131,TCP,Binary/Encrypted Data
190,13:45:03,204.79.197.222,192.168.31.131,TCP,No payload
191,13:45:03,192.168.31.131,204.79.197.222,TCP,No payload
192,13:45:03,192.168.31.131,204.79.197.222,TCP,Binary/Encrypted Data
193,13:45:03,204.79.197.222,192.168.31.131,TCP,Binary/Encrypted Data
194,13:45:03,204.79.197.222,192.168.31.131,TCP,Binary/Encrypted Data
195,13:45:03,192.168.31.131,204.79.197.222,TCP,No payload
196,13:45:03,192.168.31.131,204.79.197.222,TCP,No payload
197,13:45:03,204.79.197.222,192.168.31.131,TCP,No payload
198,13:45:04,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
199,13:45:04,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
200,13:45:05,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
201,13:45:05,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
202,13:45:05,192.168.31.131,185.199.110.133,TCP,Binary/Encrypted Data
203,13:45:06,185.199.110.133,192.168.31.131,TCP,No payload
